,DOM,date,time,yaw,pitch,roll,aX,aY,aZ,gX,gY,gZ,hX,hY,hZ,Temp,Humid
0,14,2/2/2021,14:29:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14,2/2/2021,14:29:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,14,2/2/2021,14:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,14,2/2/2021,14:30:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,14,2/2/2021,14:30:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,14,2/2/2021,14:30:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,14,2/2/2021,14:30:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,14,2/2/2021,14:30:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,14,2/2/2021,14:31:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,14,2/2/2021,14:31:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,14,2/2/2021,14:31:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,14,2/2/2021,14:31:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,14,2/2/2021,14:31:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,14,2/2/2021,14:31:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,2/2/2021,14:32:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,14,2/2/2021,14:32:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,14,2/2/2021,14:32:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,14,2/2/2021,14:32:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,17,2/2/2021,14:29:40,5.52311229705811,5.52311229705811,5.52311229705811,5.52311229705811,5.52311229705811,5.52311229705811,5.52311229705811,5.52311229705811,5.52311229705811,5.52311229705811,5.52311229705811,5.52311229705811,5.52311229705811,5.52311229705811
19,17,2/2/2021,14:29:50,5.55448865890503,5.55448865890503,5.55448865890503,5.55448865890503,5.55448865890503,5.55448865890503,5.55448865890503,5.55448865890503,5.55448865890503,5.55448865890503,5.55448865890503,5.55448865890503,5.55448865890503,5.55448865890503
20,17,2/2/2021,14:30:00,5.55250024795532,5.55250024795532,5.55250024795532,5.55250024795532,5.55250024795532,5.55250024795532,5.55250024795532,5.55250024795532,5.55250024795532,5.55250024795532,5.55250024795532,5.55250024795532,5.55250024795532,5.55250024795532
21,17,2/2/2021,14:30:10,5.55311012268066,5.55311012268066,5.55311012268066,5.55311012268066,5.55311012268066,5.55311012268066,5.55311012268066,5.55311012268066,5.55311012268066,5.55311012268066,5.55311012268066,5.55311012268066,5.55311012268066,5.55311012268066
22,17,2/2/2021,14:30:20,5.50799417495728,5.50799417495728,5.50799417495728,5.50799417495728,5.50799417495728,5.50799417495728,5.50799417495728,5.50799417495728,5.50799417495728,5.50799417495728,5.50799417495728,5.50799417495728,5.50799417495728,5.50799417495728
23,17,2/2/2021,14:30:30,5.55447912216187,5.55447912216187,5.55447912216187,5.55447912216187,5.55447912216187,5.55447912216187,5.55447912216187,5.55447912216187,5.55447912216187,5.55447912216187,5.55447912216187,5.55447912216187,5.55447912216187,5.55447912216187
24,17,2/2/2021,14:30:40,5.55458974838257,5.55458974838257,5.55458974838257,5.55458974838257,5.55458974838257,5.55458974838257,5.55458974838257,5.55458974838257,5.55458974838257,5.55458974838257,5.55458974838257,5.55458974838257,5.55458974838257,5.55458974838257
25,17,2/2/2021,14:30:50,5.55251216888428,5.55251216888428,5.55251216888428,5.55251216888428,5.55251216888428,5.55251216888428,5.55251216888428,5.55251216888428,5.55251216888428,5.55251216888428,5.55251216888428,5.55251216888428,5.55251216888428,5.55251216888428
26,17,2/2/2021,14:31:00,5.55299234390259,5.55299234390259,5.55299234390259,5.55299234390259,5.55299234390259,5.55299234390259,5.55299234390259,5.55299234390259,5.55299234390259,5.55299234390259,5.55299234390259,5.55299234390259,5.55299234390259,5.55299234390259
27,17,2/2/2021,14:31:10,5.55460262298584,5.55460262298584,5.55460262298584,5.55460262298584,5.55460262298584,5.55460262298584,5.55460262298584,5.55460262298584,5.55460262298584,5.55460262298584,5.55460262298584,5.55460262298584,5.55460262298584,5.55460262298584
28,17,2/2/2021,14:31:20,5.55394077301025,5.55394077301025,5.55394077301025,5.55394077301025,5.55394077301025,5.55394077301025,5.55394077301025,5.55394077301025,5.55394077301025,5.55394077301025,5.55394077301025,5.55394077301025,5.55394077301025,5.55394077301025
29,17,2/2/2021,14:31:30,5.55268859863281,5.55268859863281,5.55268859863281,5.55268859863281,5.55268859863281,5.55268859863281,5.55268859863281,5.55268859863281,5.55268859863281,5.55268859863281,5.55268859863281,5.55268859863281,5.55268859863281,5.55268859863281
30,17,2/2/2021,14:31:40,5.55872583389282,5.55872583389282,5.55872583389282,5.55872583389282,5.55872583389282,5.55872583389282,5.55872583389282,5.55872583389282,5.55872583389282,5.55872583389282,5.55872583389282,5.55872583389282,5.55872583389282,5.55872583389282
31,17,2/2/2021,14:31:50,5.52326011657715,5.52326011657715,5.52326011657715,5.52326011657715,5.52326011657715,5.52326011657715,5.52326011657715,5.52326011657715,5.52326011657715,5.52326011657715,5.52326011657715,5.52326011657715,5.52326011657715,5.52326011657715
