DOM,date,time,yaw,pitch,roll,aX,aY,aZ,gX,gY,gZ,hX,hY,hZ,Temp,Humid
10,2/3/2021,14:53:20,0,0,0,0,0,0,0,0,0,0,0,0,42.51,12.43
10,2/3/2021,14:53:30,0,0,0,0,0,0,0,0,0,0,0,0,42.44,12.47
15,2/3/2021,14:43:40,0,0,0,0,0,0,0,0,0,0,0,0,44.89,11.47
15,2/3/2021,14:43:50,0,0,0,0,0,0,0,0,0,0,0,0,44.83,11.55
15,2/3/2021,14:44:00,0,0,0,0,0,0,0,0,0,0,0,0,44.73,11.58
15,2/3/2021,14:44:10,0,0,0,0,0,0,0,0,0,0,0,0,44.81,11.51
15,2/3/2021,14:44:20,0,0,0,0,0,0,0,0,0,0,0,0,44.84,11.42
15,2/3/2021,14:44:30,0,0,0,0,0,0,0,0,0,0,0,0,44.84,11.47
15,2/3/2021,14:44:40,0,0,0,0,0,0,0,0,0,0,0,0,44.87,11.47
15,2/3/2021,14:44:50,0,0,0,0,0,0,0,0,0,0,0,0,44.9,11.47
15,2/3/2021,14:45:00,0,0,0,0,0,0,0,0,0,0,0,0,44.84,11.47
15,2/3/2021,14:45:10,0,0,0,0,0,0,0,0,0,0,0,0,44.89,11.42
15,2/3/2021,14:45:20,0,0,0,0,0,0,0,0,0,0,0,0,44.9,11.42
15,2/3/2021,14:45:30,0,0,0,0,0,0,0,0,0,0,0,0,44.94,11.39
15,2/3/2021,14:45:40,0,0,0,0,0,0,0,0,0,0,0,0,44.89,11.42
15,2/3/2021,14:45:50,0,0,0,0,0,0,0,0,0,0,0,0,44.89,11.39
15,2/3/2021,14:46:00,0,0,0,0,0,0,0,0,0,0,0,0,44.81,11.42
15,2/3/2021,14:46:10,0,0,0,0,0,0,0,0,0,0,0,0,44.92,11.39
15,2/3/2021,14:46:20,0,0,0,0,0,0,0,0,0,0,0,0,44.91,11.39
15,2/3/2021,14:46:30,0,0,0,0,0,0,0,0,0,0,0,0,44.86,11.42
15,2/3/2021,14:46:40,0,0,0,0,0,0,0,0,0,0,0,0,44.84,11.42
15,2/3/2021,14:46:50,0,0,0,0,0,0,0,0,0,0,0,0,44.87,11.42
15,2/3/2021,14:47:00,0,0,0,0,0,0,0,0,0,0,0,0,44.89,11.42
15,2/3/2021,14:47:10,0,0,0,0,0,0,0,0,0,0,0,0,44.94,11.39
15,2/3/2021,14:47:20,0,0,0,0,0,0,0,0,0,0,0,0,44.98,11.39
15,2/3/2021,14:47:30,0,0,0,0,0,0,0,0,0,0,0,0,44.97,11.39
15,2/3/2021,14:47:40,0,0,0,0,0,0,0,0,0,0,0,0,44.93,11.42
15,2/3/2021,14:47:50,0,0,0,0,0,0,0,0,0,0,0,0,44.91,11.42
15,2/3/2021,14:48:00,0,0,0,0,0,0,0,0,0,0,0,0,44.84,11.59
15,2/3/2021,14:48:10,0,0,0,0,0,0,0,0,0,0,0,0,44.9,11.59
15,2/3/2021,14:48:20,0,0,0,0,0,0,0,0,0,0,0,0,44.91,11.47
15,2/3/2021,14:48:30,0,0,0,0,0,0,0,0,0,0,0,0,44.95,11.55
15,2/3/2021,14:48:40,0,0,0,0,0,0,0,0,0,0,0,0,44.91,11.48
15,2/3/2021,14:48:50,0,0,0,0,0,0,0,0,0,0,0,0,44.89,11.51
15,2/3/2021,14:49:00,0,0,0,0,0,0,0,0,0,0,0,0,44.91,11.47
15,2/3/2021,14:49:10,0,0,0,0,0,0,0,0,0,0,0,0,44.89,11.51
15,2/3/2021,14:49:20,0,0,0,0,0,0,0,0,0,0,0,0,44.97,11.43
15,2/3/2021,14:49:30,0,0,0,0,0,0,0,0,0,0,0,0,44.97,11.48
15,2/3/2021,14:49:40,0,0,0,0,0,0,0,0,0,0,0,0,44.94,11.43
15,2/3/2021,14:49:50,0,0,0,0,0,0,0,0,0,0,0,0,44.97,11.48
15,2/3/2021,14:50:00,0,0,0,0,0,0,0,0,0,0,0,0,44.92,11.39
15,2/3/2021,14:50:10,0,0,0,0,0,0,0,0,0,0,0,0,44.94,11.43
