DOM,date,time,yaw,pitch,roll,aX,aY,aZ,gX,gY,gZ,hX,hY,hZ,Temp,Humid
9,2/3/2021,14:37:10,236.782608032227,4.22879505157471,-1.14998173713684,0.102000005543232,0.00300000002607703,-0.998000025749207,0,0,0,-0.131212115287781,0.0930303037166595,0.132424250245094,41.68,13.47
9,2/3/2021,14:37:20,237.323577880859,4.22748422622681,-1.14962387084961,0.102000005543232,0.00300000002607703,-0.998000025749207,0,0,0,-0.12969696521759,0.0939393937587738,0.136363640427589,41.59,13.47
9,2/3/2021,14:37:30,236.546279907227,4.22707939147949,-1.09094166755676,0.102000005543232,0.0020000000949949,-0.998000025749207,0,0,0,-0.130303025245667,0.0906060636043549,0.138181820511818,41.63,13.46
9,2/3/2021,14:37:40,237.51155090332,4.22859764099121,-1.14992773532867,0.102000005543232,0.00300000002607703,-0.998000025749207,0,0,0,-0.129999995231628,0.0951515138149261,0.136666670441628,41.63,13.47
9,2/3/2021,14:37:50,237.435165405273,4.23095989227295,-1.15057265758514,0.102000005543232,0.00300000002607703,-0.99700003862381,0,0,0,-0.12969696521759,0.09454545378685,0.135757580399513,41.59,13.55
9,2/3/2021,14:38:00,237.262222290039,4.22871923446655,-1.14996099472046,0.102000005543232,0.00300000002607703,-0.998000025749207,0,0,0,-0.129999995231628,0.0939393937587738,0.136060610413551,41.65,13.47
9,2/3/2021,14:38:10,237.049560546875,4.22747659683228,-1.14962136745453,0.102000005543232,0.00300000002607703,-0.998000025749207,0,0,0,-0.130909085273743,0.0936363637447357,0.137575760483742,41.69,13.51
9,2/3/2021,14:38:20,237.064224243164,4.22916889190674,-1.1500837802887,0.102000005543232,0.00300000002607703,-0.99700003862381,0,0,0,-0.12969696521759,0.0927272737026215,0.135454550385475,41.68,13.51
9,2/3/2021,14:38:30,236.907897949219,4.22690773010254,-1.14946663379669,0.102000005543232,0.00300000002607703,-0.998000025749207,0,0,0,-0.129393935203552,0.0915151536464691,0.137272730469704,41.73,13.47
9,2/3/2021,14:38:40,237.466415405273,4.22694492340088,-1.14947688579559,0.102000005543232,0.00300000002607703,-0.998000025749207,0,0,0,-0.129090905189514,0.0939393937587738,0.13787879049778,41.69,13.51
9,2/3/2021,14:38:50,236.759185791016,4.22858428955078,-1.14761888980865,0.102000005543232,0.00300000002607703,-0.998000025749207,0,0,0,-0.129090905189514,0.0906060636043549,0.136969700455666,41.69,13.51
9,2/3/2021,14:39:00,237.613067626953,4.23080587387085,-1.15053057670593,0.102000005543232,0.00300000002607703,-0.99700003862381,0,0,0,-0.128484845161438,0.0942424237728119,0.136060610413551,41.69,13.59
9,2/3/2021,14:39:10,236.805847167969,4.22664499282837,-1.14372265338898,0.102000005543232,0.00300000002607703,-0.998000025749207,0,0,0,-0.12969696521759,0.0915151536464691,0.134848490357399,41.69,13.55
9,2/3/2021,14:39:20,237.299591064453,4.23087120056152,-1.15054845809937,0.102000005543232,0.00300000002607703,-0.99700003862381,0,0,0,-0.129090905189514,0.0933333337306976,0.135151520371437,41.62,13.47
9,2/3/2021,14:39:30,236.938247680664,4.23100852966309,-1.15058600902557,0.102000005543232,0.00300000002607703,-0.99700003862381,0,0,0,-0.130303025245667,0.0927272737026215,0.134848490357399,41.42,13.54
9,2/3/2021,14:39:40,237.526062011719,4.22773838043213,-1.14969325065613,0.102000005543232,0.00300000002607703,-0.998000025749207,0,0,0,-0.127878785133362,0.0933333337306976,0.134545460343361,41.51,13.54
9,2/3/2021,14:39:50,237.150909423828,4.22663640975952,-1.14939248561859,0.102000005543232,0.00300000002607703,-0.998000025749207,0,0,0,-0.130303025245667,0.0939393937587738,0.13303031027317,41.34,13.57
9,2/3/2021,14:40:00,237.464263916016,4.22707319259644,-1.1495258808136,0.102000005543232,0.00300000002607703,-0.998000025749207,0,0,0,-0.128484845161438,0.0933333337306976,0.138181820511818,41.51,13.58
9,2/3/2021,14:40:10,236.960052490234,4.22677326202393,-1.14942991733551,0.102000005543232,0.00300000002607703,-0.998000025749207,0,0,0,-0.130909085273743,0.0933333337306976,0.135757580399513,41.51,13.54
9,2/3/2021,14:40:20,237.441711425781,4.22767734527588,-1.14967656135559,0.102000005543232,0.00300000002607703,-0.998000025749207,0,0,0,-0.126969695091248,0.0921212136745453,0.133636370301247,41.49,13.54
9,2/3/2021,14:40:30,237.004287719727,4.22871255874634,-1.14995920658112,0.102000005543232,0.00300000002607703,-0.998000025749207,0,0,0,-0.131818175315857,0.0942424237728119,0.13787879049778,41.54,13.54
9,2/3/2021,14:40:40,236.851104736328,4.22761106491089,-1.14965856075287,0.102000005543232,0.00300000002607703,-0.998000025749207,0,0,0,-0.129999995231628,0.0921212136745453,0.133636370301247,41.55,13.58
9,2/3/2021,14:40:50,236.787490844727,4.22690534591675,-1.14946603775024,0.102000005543232,0.00300000002607703,-0.998000025749207,0,0,0,-0.12969696521759,0.0915151536464691,0.133636370301247,41.54,13.54
9,2/3/2021,14:41:00,237.258728027344,4.23108148574829,-1.15019190311432,0.102000005543232,0.00300000002607703,-0.99700003862381,0,0,0,-0.131818175315857,0.0957575738430023,0.135757580399513,41.58,13.47
9,2/3/2021,14:41:10,237.050598144531,4.22698974609375,-1.13814377784729,0.102000005543232,0.00300000002607703,-0.998000025749207,0,0,0,-0.130909085273743,0.0939393937587738,0.133939400315285,41.67,13.47
9,2/3/2021,14:41:20,236.880599975586,4.23094654083252,-1.15056896209717,0.102000005543232,0.00300000002607703,-0.99700003862381,0,0,0,-0.131818175315857,0.0939393937587738,0.134242430329323,41.66,13.47
9,2/3/2021,14:41:30,237.698593139648,4.23024129867554,-1.15037643909454,0.102000005543232,0.00300000002607703,-0.99700003862381,0,0,0,-0.1281818151474,0.09454545378685,0.133939400315285,41.68,13.39
9,2/3/2021,14:41:40,237.327270507813,4.23106384277344,-1.1506005525589,0.102000005543232,0.00300000002607703,-0.99700003862381,0,0,0,-0.129999995231628,0.09454545378685,0.132727280259132,41.7,13.51
9,2/3/2021,14:41:50,237.212326049805,4.22879838943481,-1.14822506904602,0.102000005543232,0.00300000002607703,-0.998000025749207,0,0,0,-0.130606055259705,0.09454545378685,0.133636370301247,41.69,13.35
